episode_id,failure_mode,service,elapsed_s,timestamp,p50_latency_ms,p99_latency_ms,heap_mb,gc_pause_ms,error_rate,cache_miss_rate,db_p99_ms,cpu_pct
ep_00000_NONE,NONE,auth-service,138,1700215395,99.6,97.9,504.9,2.0,0.0126,0.01,20.1,37.0
ep_00000_NONE,NONE,auth-service,140,1700217395,102.9,96.3,492.0,16.92,0.0083,0.0258,19.5,36.1
ep_00000_NONE,NONE,auth-service,142,1700219395,98.8,90.9,483.7,10.39,0.0097,0.0347,24.1,33.5
ep_00000_NONE,NONE,auth-service,144,1700221395,86.1,103.7,541.6,8.63,0.0194,0.0766,19.7,31.4
ep_00000_NONE,NONE,auth-service,146,1700223395,86.7,101.3,512.1,9.57,0.0127,0.0195,12.2,29.8
ep_00000_NONE,NONE,auth-service,148,1700225395,81.8,95.5,506.5,4.44,0.0127,0.0549,10.4,35.2
ep_00000_NONE,NONE,auth-service,150,1700227395,90.0,105.5,535.8,13.54,0.0057,0.0967,24.6,30.2
ep_00000_NONE,NONE,auth-service,152,1700229395,83.9,86.4,501.2,12.07,0.0039,0.0243,31.2,35.7
ep_00000_NONE,NONE,auth-service,154,1700231395,93.3,96.2,520.9,2.99,0.0199,0.01,31.0,34.6
ep_00000_NONE,NONE,auth-service,156,1700233395,88.4,83.9,507.4,5.22,0.0207,0.01,20.5,35.6
ep_00000_NONE,NONE,auth-service,158,1700235395,86.7,81.0,481.1,2.0,0.0067,0.0386,19.7,42.9
ep_00000_NONE,NONE,auth-service,160,1700237395,94.0,104.7,536.8,10.48,0.0125,0.0304,29.7,39.2
ep_00000_NONE,NONE,auth-service,162,1700239395,88.1,96.0,513.6,2.0,0.0067,0.01,19.0,33.6
ep_00000_NONE,NONE,auth-service,164,1700241395,104.2,94.0,507.1,40.0,0.004,0.0587,20.3,34.6
ep_00000_NONE,NONE,auth-service,166,1700243395,90.0,112.2,465.6,2.41,0.0051,0.0101,21.2,39.8
ep_00000_NONE,NONE,auth-service,168,1700245395,92.2,89.4,526.0,8.05,0.01,0.01,12.8,30.1
ep_00000_NONE,NONE,auth-service,170,1700247395,83.1,119.6,548.0,2.0,0.0072,0.0571,16.0,35.7
ep_00000_NONE,NONE,auth-service,172,1700249395,96.8,87.0,524.7,2.0,0.0022,0.0233,18.6,38.8
ep_00000_NONE,NONE,auth-service,174,1700251395,105.5,114.6,487.4,20.75,0.024,0.01,16.4,31.4
ep_00000_NONE,NONE,auth-service,176,1700253395,83.0,117.8,518.0,7.43,0.0059,0.01,14.0,41.6
ep_00000_NONE,NONE,auth-service,178,1700255395,89.6,107.9,520.2,16.64,0.0134,0.0501,20.6,36.6
ep_00000_NONE,NONE,auth-service,180,1700257395,83.7,95.3,523.4,4.11,0.0243,0.0146,17.7,26.0
ep_00000_NONE,NONE,auth-service,182,1700259395,102.1,87.0,518.0,30.9,0.0049,0.0164,25.5,32.8
ep_00000_NONE,NONE,auth-service,184,1700261395,89.6,93.8,495.3,20.92,0.0119,0.0306,20.2,32.0
ep_00000_NONE,NONE,auth-service,186,1700263395,103.0,98.6,507.6,16.05,0.0007,0.01,36.6,39.1
ep_00000_NONE,NONE,auth-service,188,1700265395,91.4,90.6,504.1,9.51,0.0113,0.0694,10.7,38.1
ep_00000_NONE,NONE,auth-service,190,1700267395,96.0,92.5,462.4,5.1,0.0194,0.0579,23.8,44.2
ep_00000_NONE,NONE,auth-service,192,1700269395,99.5,87.4,500.8,6.73,0.0017,0.0185,11.4,29.6
ep_00000_NONE,NONE,auth-service,194,1700271395,97.0,97.7,520.2,23.81,0.0098,0.031,17.1,29.8
ep_00000_NONE,NONE,auth-service,196,1700273395,108.5,98.3,497.4,4.45,0.0074,0.0142,23.1,33.1
ep_00000_NONE,NONE,auth-service,198,1700275395,85.9,90.9,506.9,19.71,0.0148,0.021,29.2,39.8
ep_00000_NONE,NONE,auth-service,200,1700277395,77.9,103.3,520.1,29.96,0.0079,0.0611,8.5,33.4
ep_00000_NONE,NONE,auth-service,202,1700279395,100.0,84.1,518.7,24.41,0.0049,0.01,19.0,37.9
ep_00000_NONE,NONE,auth-service,204,1700281395,78.7,106.8,505.5,2.0,0.0053,0.0148,17.7,46.1
ep_00000_NONE,NONE,auth-service,206,1700283395,77.5,107.6,539.4,4.38,0.0299,0.12,30.6,35.9
ep_00000_NONE,NONE,auth-service,208,1700285395,82.7,103.2,530.4,8.6,0.0151,0.105,17.6,20.2
ep_00000_NONE,NONE,auth-service,210,1700287395,80.0,106.2,498.7,2.0,0.0022,0.0728,16.8,33.4
ep_00000_NONE,NONE,auth-service,212,1700289395,101.7,93.9,558.0,14.76,0.024,0.0234,20.3,28.6
ep_00000_NONE,NONE,auth-service,214,1700291395,79.1,80.7,476.6,2.0,0.0209,0.0344,17.9,43.5
ep_00000_NONE,NONE,auth-service,216,1700293395,93.6,100.6,514.3,24.54,0.0135,0.0146,19.9,31.9
ep_00000_NONE,NONE,auth-service,218,1700295395,81.4,91.5,489.9,9.92,0.0032,0.0202,18.8,37.5
ep_00000_NONE,NONE,auth-service,220,1700297395,73.1,94.6,552.0,2.0,0.0083,0.0183,29.8,33.4
ep_00000_NONE,NONE,auth-service,222,1700299395,88.1,93.1,503.5,6.2,0.0216,0.0242,14.2,45.0
ep_00000_NONE,NONE,auth-service,224,1700301395,82.3,102.5,478.3,17.05,0.0151,0.12,23.7,37.0
ep_00000_NONE,NONE,auth-service,226,1700303395,77.5,87.8,500.4,3.81,0.0024,0.0177,20.9,30.9
ep_00000_NONE,NONE,auth-service,228,1700305395,80.8,85.6,499.3,17.23,0.0106,0.0254,13.0,28.7
ep_00000_NONE,NONE,auth-service,230,1700307395,90.2,105.3,467.7,2.0,0.0178,0.0639,26.7,30.1
ep_00000_NONE,NONE,auth-service,232,1700309395,88.6,87.7,519.6,5.54,0.0095,0.069,13.1,33.4
ep_00000_NONE,NONE,auth-service,234,1700311395,100.9,100.1,515.9,23.68,0.0062,0.01,48.1,26.1
ep_00000_NONE,NONE,auth-service,236,1700313395,92.6,87.4,523.5,12.81,0.0141,0.0293,27.8,28.9
ep_00000_NONE,NONE,auth-service,238,1700315395,83.4,96.5,511.7,9.7,0.0162,0.0258,9.7,38.2
ep_00001_NONE,NONE,order-service,0,1700023833,90.4,93.8,535.4,18.84,0.0042,0.0776,22.6,26.2
ep_00001_NONE,NONE,order-service,2,1700025833,81.2,94.0,548.0,35.18,0.0046,0.12,20.9,37.3
ep_00001_NONE,NONE,order-service,4,1700027833,88.2,78.8,531.8,23.48,0.005,0.0153,24.3,32.3
ep_00001_NONE,NONE,order-service,6,1700029833,92.0,93.6,529.5,2.0,0.0018,0.0126,11.9,36.0
ep_00001_NONE,NONE,order-service,8,1700031833,81.0,90.1,514.8,23.26,0.0103,0.01,10.1,38.2
ep_00001_NONE,NONE,order-service,10,1700033833,89.1,84.9,514.5,8.6,0.0059,0.0173,28.2,35.5
ep_00001_NONE,NONE,order-service,12,1700035833,90.3,94.1,511.4,8.82,0.002,0.0142,17.9,42.4
ep_00001_NONE,NONE,order-service,14,1700037833,94.1,81.9,525.4,22.51,0.0054,0.12,17.0,40.5
ep_00001_NONE,NONE,order-service,16,1700039833,95.0,112.1,557.4,16.63,0.0093,0.0241,13.9,39.2
ep_00001_NONE,NONE,order-service,18,1700041833,82.7,123.1,503.0,9.06,0.0023,0.0352,31.1,39.0
ep_00001_NONE,NONE,order-service,20,1700043833,90.8,70.6,492.3,10.04,0.021,0.0499,21.8,33.5
ep_00001_NONE,NONE,order-service,22,1700045833,88.8,89.4,503.1,12.47,0.0119,0.0174,20.3,39.8
ep_00001_NONE,NONE,order-service,24,1700047833,74.4,75.3,517.5,16.0,0.0091,0.0922,25.3,41.1
ep_00001_NONE,NONE,order-service,26,1700049833,95.2,86.2,525.5,2.19,0.007,0.0688,21.5,33.7
ep_00001_NONE,NONE,order-service,28,1700051833,101.8,86.0,500.3,4.14,0.0168,0.12,24.5,31.8
ep_00001_NONE,NONE,order-service,30,1700053833,91.9,92.0,525.4,2.0,0.0043,0.0629,30.7,40.1
ep_00001_NONE,NONE,order-service,32,1700055833,95.4,91.3,516.7,2.65,0.0057,0.0529,30.8,26.9
ep_00001_NONE,NONE,order-service,34,1700057833,95.8,109.2,502.9,2.0,0.001,0.12,15.9,29.3
ep_00001_NONE,NONE,order-service,36,1700059833,72.8,92.3,500.4,8.85,0.0125,0.01,24.2,29.2
ep_00001_NONE,NONE,order-service,38,1700061833,90.3,96.5,502.6,34.72,0.0041,0.0221,27.3,33.4
ep_00001_NONE,NONE,order-service,40,1700063833,78.3,84.1,532.5,26.54,0.0194,0.0221,12.0,33.0
ep_00001_NONE,NONE,order-service,42,1700065833,102.8,94.7,488.8,2.0,0.0042,0.0498,16.0,30.5
ep_00001_NONE,NONE,order-service,44,1700067833,83.0,115.0,513.1,2.0,0.0013,0.0127,16.8,35.8
ep_00001_NONE,NONE,order-service,46,1700069833,84.9,92.3,507.3,6.23,0.0119,0.0129,20.7,43.5
ep_00001_NONE,NONE,order-service,48,1700071833,79.3,102.7,474.1,2.0,0.0227,0.01,18.4,36.0
ep_00001_NONE,NONE,order-service,50,1700073833,83.9,86.9,484.8,3.49,0.0116,0.01,17.1,46.1
ep_00001_NONE,NONE,order-service,52,1700075833,92.0,81.0,534.5,2.0,0.0029,0.0831,21.1,34.9
ep_00001_NONE,NONE,order-service,54,1700077833,84.7,100.8,521.5,10.3,0.0043,0.0522,21.4,32.6
ep_00001_NONE,NONE,order-service,56,1700079833,100.5,90.1,525.2,2.0,0.0094,0.12,24.5,44.6
ep_00001_NONE,NONE,order-service,58,1700081833,83.9,81.2,492.1,19.71,0.013,0.0448,22.4,37.9
ep_00001_NONE,NONE,order-service,60,1700083833,86.1,76.9,499.9,20.35,0.002,0.0399,19.9,37.7
ep_00001_NONE,NONE,order-service,62,1700085833,74.2,92.4,513.1,2.08,0.0095,0.01,21.1,40.1
ep_00001_NONE,NONE,order-service,64,1700087833,96.2,94.0,502.6,5.32,0.0112,0.0672,26.1,31.0
ep_00001_NONE,NONE,order-service,66,1700089833,75.5,110.4,517.1,2.0,0.0046,0.1162,21.4,37.0
ep_00001_NONE,NONE,order-service,68,1700091833,94.0,104.1,516.0,9.88,0.0068,0.0233,15.8,35.3
ep_00001_NONE,NONE,order-service,70,1700093833,89.8,96.9,556.1,14.98,0.0113,0.0529,18.1,36.2
ep_00001_NONE,NONE,order-service,72,1700095833,89.2,91.7,566.1,6.64,0.0048,0.01,25.0,30.8
ep_00001_NONE,NONE,order-service,74,1700097833,81.4,97.2,524.0,10.52,0.0044,0.01,24.1,41.2
ep_00001_NONE,NONE,order-service,76,1700099833,112.5,77.9,497.2,15.21,0.0041,0.0525,23.4,38.0
ep_00001_NONE,NONE,order-service,78,1700101833,87.0,116.2,516.7,2.0,0.0034,0.0147,25.0,30.3
ep_00001_NONE,NONE,order-service,80,1700103833,82.0,95.4,515.5,2.22,0.0074,0.12,24.1,40.4
ep_00001_NONE,NONE,order-service,82,1700105833,94.9,90.7,527.8,20.99,0.0208,0.01,12.9,35.5
ep_00001_NONE,NONE,order-service,84,1700107833,83.9,95.9,496.1,40.0,0.0096,0.0114,13.7,42.9
ep_00001_NONE,NONE,order-service,86,1700109833,82.6,84.6,511.2,19.8,0.0035,0.0202,16.7,27.1
ep_00001_NONE,NONE,order-service,88,1700111833,84.0,94.5,535.3,27.68,0.0093,0.0136,27.8,37.8
ep_00001_NONE,NONE,order-service,90,1700113833,71.0,87.2,514.8,7.82,0.0113,0.0686,14.5,38.2
ep_00001_NONE,NONE,order-service,92,1700115833,79.8,113.9,501.1,14.98,0.0176,0.0567,39.8,39.9
ep_00001_NONE,NONE,order-service,94,1700117833,77.4,99.5,534.8,16.18,0.0055,0.0336,17.3,30.5
ep_00001_NONE,NONE,order-service,96,1700119833,67.9,90.7,519.4,7.0,0.0253,0.0703,20.4,37.5
ep_00001_NONE,NONE,order-service,98,1700121833,92.9,92.1,520.1,2.41,0.0062,0.0277,10.3,42.3
ep_00001_NONE,NONE,order-service,100,1700123833,91.4,105.0,494.0,13.5,0.0105,0.12,25.9,42.4
ep_00001_NONE,NONE,order-service,102,1700125833,96.5,85.3,508.5,3.25,0.0211,0.0834,10.4,35.8
ep_00001_NONE,NONE,order-service,104,1700127833,92.6,107.1,543.4,17.16,0.0033,0.01,15.4,38.9
ep_00001_NONE,NONE,order-service,106,1700129833,81.2,92.6,509.7,2.32,0.0061,0.0557,25.5,27.3
ep_00001_NONE,NONE,order-service,108,1700131833,85.9,101.8,499.7,11.34,0.0135,0.01,15.4,29.2
ep_00001_NONE,NONE,order-service,110,1700133833,86.5,93.2,499.1,12.08,0.0057,0.1099,12.3,36.5
ep_00001_NONE,NONE,order-service,112,1700135833,82.8,110.8,477.9,40.0,0.0186,0.1097,18.5,42.7
ep_00001_NONE,NONE,order-service,114,1700137833,86.5,96.0,534.7,5.46,0.0046,0.0411,18.7,30.2
ep_00001_NONE,NONE,order-service,116,1700139833,82.1,97.8,531.9,6.6,0.0095,0.0449,17.5,38.8
ep_00001_NONE,NONE,order-service,118,1700141833,96.6,89.6,503.9,19.86,0.0041,0.0507,13.8,28.4
ep_00001_NONE,NONE,order-service,120,1700143833,88.8,83.1,497.9,5.74,0.0056,0.12,23.9,30.5
ep_00001_NONE,NONE,order-service,122,1700145833,96.1,92.2,548.3,9.97,0.0099,0.0102,20.1,39.1
ep_00001_NONE,NONE,order-service,124,1700147833,84.4,102.7,496.8,3.8,0.0369,0.0168,27.2,37.4
ep_00001_NONE,NONE,order-service,126,1700149833,99.7,104.2,542.4,21.88,0.0163,0.0758,16.8,35.1
ep_00001_NONE,NONE,order-service,128,1700151833,101.5,100.6,477.8,10.83,0.0246,0.0266,19.7,33.1
ep_00001_NONE,NONE,order-service,130,1700153833,98.7,89.6,535.0,6.04,0.0102,0.0174,24.2,38.2
ep_00001_NONE,NONE,order-service,132,1700155833,96.3,94.5,502.3,9.21,0.0279,0.1061,22.6,33.1
ep_00001_NONE,NONE,order-service,134,1700157833,73.2,103.4,540.7,20.41,0.0099,0.0331,22.9,26.0
ep_00001_NONE,NONE,order-service,136,1700159833,93.8,117.7,524.8,6.62,0.0093,0.0262,14.9,39.8
ep_00001_NONE,NONE,order-service,138,1700161833,89.3,98.4,521.2,4.49,0.0087,0.1008,24.9,27.0
ep_00001_NONE,NONE,order-service,140,1700163833,83.4,107.4,517.7,11.25,0.0153,0.0288,14.9,34.0
ep_00001_NONE,NONE,order-service,142,1700165833,96.6,89.0,504.2,14.75,0.0044,0.0198,31.9,36.1
ep_00001_NONE,NONE,order-service,144,1700167833,85.6,93.4,539.1,8.9,0.0041,0.0437,28.9,33.4
ep_00001_NONE,NONE,order-service,146,1700169833,88.3,101.6,500.3,3.34,0.0084,0.0697,21.9,47.0
ep_00001_NONE,NONE,order-service,148,1700171833,81.5,76.0,537.7,2.0,0.0081,0.0367,16.3,33.3
ep_00001_NONE,NONE,order-service,150,1700173833,78.6,90.8,514.4,32.77,0.0071,0.0101,18.7,36.8
ep_00001_NONE,NONE,order-service,152,1700175833,93.6,107.3,507.6,12.42,0.0046,0.01,13.7,29.8
ep_00001_NONE,NONE,order-service,154,1700177833,89.5,91.3,540.0,9.49,0.0116,0.0122,28.7,36.1
ep_00001_NONE,NONE,order-service,156,1700179833,88.6,99.0,454.8,2.0,0.0073,0.0763,20.8,35.8
ep_00001_NONE,NONE,order-service,158,1700181833,98.3,84.1,515.5,4.77,0.0015,0.0421,13.7,29.2
ep_00001_NONE,NONE,order-service,160,1700183833,79.6,112.3,502.8,18.42,0.0061,0.0119,15.7,26.1
ep_00001_NONE,NONE,order-service,162,1700185833,86.2,93.3,527.0,2.0,0.006,0.1102,25.2,39.4
ep_00001_NONE,NONE,order-service,164,1700187833,84.4,78.8,501.3,5.9,0.0061,0.0358,23.9,33.8
ep_00001_NONE,NONE,order-service,166,1700189833,88.7,90.7,564.7,2.0,0.0061,0.01,22.5,35.5
ep_00001_NONE,NONE,order-service,168,1700191833,90.1,94.4,500.5,21.27,0.023,0.0391,18.6,37.9
ep_00001_NONE,NONE,order-service,170,1700193833,84.9,92.4,531.4,17.58,0.0035,0.12,16.9,31.8
ep_00001_NONE,NONE,order-service,172,1700195833,90.1,89.6,482.8,7.89,0.0158,0.1049,19.4,44.2
ep_00001_NONE,NONE,order-service,174,1700197833,105.4,78.4,561.9,2.43,0.0175,0.0137,28.8,35.4
ep_00001_NONE,NONE,order-service,176,1700199833,88.7,106.0,523.6,36.05,0.005,0.0547,30.9,41.8
ep_00001_NONE,NONE,order-service,178,1700201833,91.9,86.8,543.5,2.0,0.0098,0.0455,14.5,28.7
ep_00001_NONE,NONE,order-service,180,1700203833,94.1,110.3,513.3,3.44,0.0013,0.01,17.1,30.8
ep_00001_NONE,NONE,order-service,182,1700205833,96.0,106.4,512.0,2.0,0.0124,0.0113,16.5,31.7
ep_00001_NONE,NONE,order-service,184,1700207833,80.3,104.8,513.6,5.91,0.0162,0.056,28.3,35.1
ep_00001_NONE,NONE,order-service,186,1700209833,80.4,100.4,502.3,17.76,0.0081,0.025,26.4,31.4
ep_00001_NONE,NONE,order-service,188,1700211833,91.8,82.3,499.1,13.77,0.0152,0.0562,28.6,40.3
ep_00001_NONE,NONE,order-service,190,1700213833,84.0,67.6,476.7,2.03,0.0054,0.0245,21.5,43.0
ep_00001_NONE,NONE,order-service,192,1700215833,80.6,102.5,506.1,40.0,0.0007,0.0271,19.9,36.5
ep_00001_NONE,NONE,order-service,194,1700217833,84.1,95.3,480.0,9.03,0.0082,0.0659,15.9,34.4
ep_00001_NONE,NONE,order-service,196,1700219833,85.1,118.0,510.2,2.32,0.0079,0.0338,21.5,41.9
ep_00001_NONE,NONE,order-service,198,1700221833,95.1,111.3,510.8,15.51,0.0061,0.01,24.7,44.8
ep_00001_NONE,NONE,order-service,200,1700223833,77.6,92.3,502.7,18.8,0.0163,0.082,27.0,32.2
ep_00001_NONE,NONE,order-service,202,1700225833,73.6,82.7,542.0,2.0,0.0043,0.0203,19.5,37.9
ep_00001_NONE,NONE,order-service,204,1700227833,80.2,98.6,533.8,11.41,0.0099,0.0291,17.3,36.0
ep_00001_NONE,NONE,order-service,206,1700229833,87.0,99.9,522.5,4.29,0.0225,0.0123,17.6,32.6
ep_00001_NONE,NONE,order-service,208,1700231833,84.6,91.8,535.6,30.92,0.0365,0.01,26.0,36.0
ep_00001_NONE,NONE,order-service,210,1700233833,77.4,102.7,537.4,10.89,0.0091,0.0173,17.2,32.6
ep_00001_NONE,NONE,order-service,212,1700235833,91.2,104.7,536.8,34.33,0.014,0.1034,24.0,29.9
ep_00001_NONE,NONE,order-service,214,1700237833,85.8,102.8,533.1,2.0,0.0086,0.0137,32.6,38.9
ep_00001_NONE,NONE,order-service,216,1700239833,92.3,102.5,498.7,2.0,0.004,0.0471,23.7,34.8
ep_00001_NONE,NONE,order-service,218,1700241833,93.3,87.7,519.4,12.49,0.005,0.01,23.6,44.9
ep_00001_NONE,NONE,order-service,220,1700243833,88.5,125.3,507.4,5.92,0.0057,0.1118,15.3,37.1
ep_00001_NONE,NONE,order-service,222,1700245833,111.4,92.4,482.9,11.17,0.0077,0.0216,16.7,30.4
ep_00001_NONE,NONE,order-service,224,1700247833,80.5,105.6,525.8,5.14,0.0098,0.01,14.9,27.5
